rank,title,outline,grade
1,웅남이,"코미디, 액션",7.41
2,스즈메의 문단속,애니메이션,8.15
3,파벨만스,드라마,8.87
4,소울메이트,드라마,8.02
5,더 퍼스트 슬램덩크,애니메이션,9.28
6,던전 앤 드래곤: 도적들의 명예,"액션, 모험, 판타지",8.34
7,에브리씽 에브리웨어 올 앳 원스+,"액션, 코미디",8.9
8,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",애니메이션,6.65
9,리바운드,드라마,NULL
10,아임 히어로 더 파이널,"다큐멘터리, 공연실황",9.87
11,대외비,"범죄, 드라마",6.17
12,모나리자와 블러드 문,"판타지, 미스터리, 스릴러",7.14
13,TAR 타르,드라마,7.81
14,플레인,"액션, 스릴러",7.72
15,리바운드,드라마,NULL
16,포커페이스,"스릴러, 범죄",6.67
17,옥수역귀신,"공포, 미스터리",NULL
18,존 윅 4,액션,NULL
19,오토라는 남자,"코미디, 드라마",8.33
20,아바타: 물의 길,"액션, 모험, SF, 스릴러",8.82
